years,gics_sector,ticker,avg_daily_close_change,avg_adj_close
2018,Consumer Discretionary,AMZN,0.0012555384372212606,1641.7261758629545
2018,Consumer Discretionary,EBAY,-0.000985575060108899,34.49328305521809
2018,Consumer Discretionary,HAS,-0.00019199011891027319,83.29551544797373
2018,Consumer Discretionary,HD,-0.00020008244791093902,172.69564928761517
2018,Consumer Discretionary,KMX,7.592719728197759e-05,68.62055776223718
2018,Consumer Discretionary,LEN,-0.001687883268413807,50.82003919441861
2018,Consumer Discretionary,ROST,0.00033282557931869623,83.10679395455288
2018,Consumer Discretionary,TGT,0.00034157970746657074,70.07779897256677
2018,Consumer Discretionary,TJX,0.0007875055836305578,44.06136571268637
2018,Consumer Discretionary,TSLA,0.0009319862424007804,63.46198397328654
2018,Consumer Discretionary,VFC,9.632107117058042e-05,70.25471584730414
2018,Consumer Staples,ADM,0.0002747578991050903,40.69572100696336
2018,Consumer Staples,CAG,-0.0019776134085373047,31.682261645556448
2018,Consumer Staples,CLX,0.0003760212123090691,125.81588723839991
2018,Consumer Staples,EL,0.0002662384221740391,135.9277250130338
2018,Consumer Staples,HRL,0.000797146045046049,34.9413329804561
2018,Consumer Staples,HSY,-3.31474438863452e-05,92.03397810126681
2018,Consumer Staples,KMB,3.2254537468154794e-05,97.32481736870876
2018,Consumer Staples,MO,-0.001147444869357805,45.70692419530861
2018,Consumer Staples,PEP,-0.00012913903459321928,99.058193769113
2018,Consumer Staples,SJM,-0.0008909978588964872,99.77411159196222
2018,Consumer Staples,SYY,0.0003073295906852409,59.907080220986174
2018,Consumer Staples,WBA,4.60206008341729e-06,60.81137492267259
2018,Energy,BKR,-0.0012155364411301486,27.199832718685805
2018,Energy,CTRA,-0.0007514480079807972,20.88237070182405
2018,Energy,CVX,-0.00029240003034846534,100.0412322876463
2018,Energy,DVN,-0.0020665446807624755,31.809835730320906
2018,Energy,EOG,-0.0006324812614427146,100.02881689185641
2018,Energy,HES,-0.0002484740219381247,54.277135111896165
2018,Energy,KMI,-0.00035705538559087716,13.547648068918175
2018,Energy,OKE,0.00035416795755541475,47.405021165946565
2018,Energy,OXY,-0.000426643200114781,66.40935216956879
2018,Energy,PXD,-0.0008710400783482234,159.49926700060112
2018,Energy,SLB,-0.0022235763217879883,55.344118437444074
2018,Energy,WMB,-0.00096559888778858,21.413506238109086
2018,Financials,AFL,0.0003202459477729311,40.68114444079152
2018,Financials,AIG,-0.0014291413471190517,46.921031769528334
2018,Financials,AIZ,-0.0002767979423155589,90.17188785750552
2018,Financials,ALL,-0.0007751738498620841,87.03311549334887
2018,Financials,CMA,-0.0007341304809811119,77.70540890940632
2018,Financials,FDS,0.00028471348724809265,202.0612112706401
2018,Financials,FRC,0.0001497773421542245,92.98802124266605
2018,Financials,GS,-0.0014945299823476746,216.1173769886275
2018,Financials,IVZ,-0.0027644372897108597,22.12456796273767
2018,Financials,SCHW,-0.0006581932181599889,48.583012630265074
2018,Financials,TFC,-0.00033673764870274667,44.747202915024474
2018,Financials,WFC,-0.0008708162255247983,49.18219544308119
2018,Health Care,ABC,-0.0005862775049720753,83.30110217090622
2018,Health Care,AMGN,0.000677537137400199,167.202376893792
2018,Health Care,ANTM,0.0007734849610746504,239.10307798347625
2018,Health Care,BAX,0.00022383517853101536,66.83131390453809
2018,Health Care,BIIB,1.9511305823685044e-05,313.64434255166833
2018,Health Care,HOLX,-4.464866475970783e-05,40.068884480996914
2018,Health Care,IDXX,0.0008704587915030522,209.77872488318212
2018,Health Care,ILMN,0.001528848511588681,286.55952210445327
2018,Health Care,ISRG,0.0013030770828959884,159.90250989450402
2018,Health Care,STE,0.0009243941503074667,100.53208205994382
2018,Health Care,VRTX,0.000624731876833177,167.4049004786518
2018,Health Care,WST,0.00013852362116208587,100.23626298638455
2018,Industrials,AOS,-0.0012499496673130078,54.01141290550688
2018,Industrials,EMR,-0.0003861155545372789,63.49009590604866
2018,Industrials,FAST,8.674264091342923e-05,24.523460365386597
2018,Industrials,HON,-0.0002697032878363971,134.39049061930987
2018,Industrials,LDOS,-0.0006145774664522537,60.74968687566628
2018,Industrials,LUV,-0.0011677720532499278,54.729102039717105
2018,Industrials,NDSN,-0.0006390022678823998,128.31766810930108
2018,Industrials,RHI,0.000359991887895037,59.31235008695686
2018,Industrials,SWK,-0.0011576198664711033,133.57916736982733
2018,Industrials,TT,0.0002823247316139184,67.89463901899725
2018,Industrials,UPS,-0.000543264337334103,100.59303624126541
2018,Industrials,WAB,-0.0003678661677623096,90.10583830449686
2018,Information Technology,AVGO,0.000393686281891321,211.53599499706255
2018,Information Technology,EPAM,0.0004885486768546415,123.06876516152188
2018,Information Technology,HPQ,0.00014389835433122636,20.677568017724028
2018,Information Technology,INTU,0.001071744572264851,191.5255584108877
2018,Information Technology,IT,0.0002635999192423829,135.5960558097201
2018,Information Technology,LRCX,-0.0007984612534439593,166.38668507123847
2018,Information Technology,MSFT,0.0009106514634401871,97.28502010634222
2018,Information Technology,NXPI,-0.0015389463404228369,97.81049559695788
2018,Information Technology,PTC,0.0014350162941333758,86.34195225932208
2018,Information Technology,TRMB,-0.0006338821380492303,37.68095619839976
2018,Information Technology,V,0.0007347648168613289,129.5474334048085
2018,Information Technology,VRSN,0.0012131804963314103,136.94139433477028
2018,Materials,APD,8.859206129525816e-05,149.7225898651488
2018,Materials,CE,-0.0004756510551911369,98.95951533222579
2018,Materials,CF,0.00047215396517013875,39.77157416476671
2018,Materials,DD,-0.0007951367112407383,84.26580673764902
2018,Materials,ECL,0.000480433986410225,140.08985606037763
2018,Materials,IP,-0.0011240477807947344,41.58559811352733
2018,Materials,MOS,0.0007640313975133773,28.188872196759835
2018,Materials,NUE,-0.0005618988823965096,57.12186694810115
2018,Materials,PKG,-0.0011987683916552608,99.32245982500662
2018,Materials,SEE,-0.0012014989142393364,39.07029825947674
2018,Materials,SHW,-2.228457136843432e-05,132.75807442228157
2018,Materials,VMC,-0.0007909043500298807,111.34663901765983
2018,Real Estate,ARE,-0.00029061451602998325,112.91074568911853
2018,Real Estate,BXP,-0.00037237058437180254,108.14276104809278
2018,Real Estate,CCI,0.00014986988738658423,96.39633279017718
2018,Real Estate,CPT,3.431974922919463e-05,79.46414567559839
2018,Real Estate,DLR,-3.0156919296003503e-06,98.0939500056415
2018,Real Estate,FRT,-0.0002575348550832764,106.8650462845882
2018,Real Estate,HST,-0.00045825744348073884,18.386708954890885
2018,Real Estate,KIM,-0.00042026008470208697,13.135834545728219
2018,Real Estate,O,0.000670198644929388,45.84004963726636
2018,Real Estate,PSA,9.473462959786525e-05,182.2630125858869
2018,Real Estate,REG,-0.0004269772613156532,52.739083765037506
2018,Real Estate,WELL,0.000678850317724771,52.50085321555574
2018,Utilities,AES,0.0014516874525526383,11.541398382756814
2018,Utilities,ATO,0.00045489686765247037,81.58529295294409
2018,Utilities,CMS,0.00037628283836024356,42.494357773982195
2018,Utilities,CNP,0.00021196989745691467,24.10125945193834
2018,Utilities,DTE,0.0002655356822553841,80.99535789337766
2018,Utilities,ES,0.00031384933248219336,54.53375959966287
2018,Utilities,ETR,0.00046524726255683637,70.67299252392286
2018,Utilities,EXC,0.0007782050068299496,25.658206301381387
2018,Utilities,NEE,0.0005887046347079258,38.04120512882552
2018,Utilities,PEG,0.00024972653588849485,45.829719254695085
2018,Utilities,SO,-8.475841835425978e-05,38.32168732601333
2018,Utilities,XEL,0.00029034862267534114,42.871139419981205
2019,Communication Services,DIS,0.00124601540204126,129.66007405235655
2019,Communication Services,DISH,0.0016137282298898262,34.17603168790303
2019,Communication Services,EA,0.001498171199888927,95.10083855523004
2019,Communication Services,GOOGL,0.0010962322799682742,1191.2169417123946
2019,Communication Services,LUMN,9.264880114889619e-05,9.970998782960196
2019,Communication Services,LYV,0.001616511160638818,64.76047627888029
